"id_province","province","country"
1,"Sicily & Sardinia","Italy"
2,"Douro","Portugal"
3,"Oregon","US"
4,"Michigan","US"
5,"Northern Spain","Spain"
6,"Alsace","France"
7,"Rheinhessen","Germany"
8,"California","US"
9,"Mosel","Germany"
10,"Other","Argentina"
11,"Mendoza Province","Argentina"
12,"Virginia","US"
13,"Beaujolais","France"
14,"Colchagua Valley","Chile"
15,"Southern Italy","Italy"
16,"Maule Valley","Chile"
17,"Bordeaux","France"
18,"Maipo Valley","Chile"
19,"Washington","US"
20,"Central Italy","Italy"
21,"Champagne","France"
22,"Burgundy","France"
23,"South Australia","Australia"
24,"Tejo","Portugal"
25,"Rapel Valley","Chile"
26,"Galicia","Spain"
27,"France Other","France"
28,"Tuscany","Italy"
29,"Burgenland","Austria"
30,"New York","US"
31,"Leyda Valley","Chile"
32,"Piedmont","Italy"
33,"Stellenbosch","South Africa"
34,"Simonsberg-Stellenbosch","South Africa"
35,"Walker Bay","South Africa"
36,"Alentejano","Portugal"
37,"Central Spain","Spain"
38,"Southwest France","France"
39,"Aconcagua Valley","Chile"
40,"Loncomilla Valley","Chile"
41,"Marlborough","New Zealand"
42,"Northeastern Italy","Italy"
43,"Casablanca Valley","Chile"
44,"Veneto","Italy"
45,"Western Cape","South Africa"
46,"Judean Hills","Israel"
47,"Alentejo","Portugal"
48,"Coastal Region","South Africa"
49,"Rhône Valley","France"
50,"Galilee","Israel"
51,"Beira Atlantico","Portugal"
52,"Tokaj","Hungary"
53,"Leithaberg","Austria"
54,"Santorini","Greece"
55,"Kremstal","Austria"
56,"Catalonia","Spain"
57,"Recas","Romania"
58,"Hawke's Bay","New Zealand"
59,"Curicó Valley","Chile"
60,"Limarí Valley","Chile"
61,"Colchagua Costa","Chile"
62,"Languedoc-Roussillon","France"
63,"Provence","France"
64,"Victoria","Australia"
65,"Rheingau","Germany"
66,"Tokaji","Hungary"
67,"Naoussa","Greece"
68,"Valle de Guadalupe","Mexico"
69,"Central Valley","Chile"
70,"Lontué Valley","Chile"
71,"Italy Other","Italy"
72,"Weinviertel","Austria"
73,"Thermenregion","Austria"
74,"Niederösterreich","Austria"
75,"Wagram","Austria"
76,"Loire Valley","France"
77,"Lombardy","Italy"
78,"Ontario","Canada"
79,"Österreichischer Sekt","Austria"
80,"Kamptal","Austria"
81,"Steiermark","Austria"
82,"Südsteiermark","Austria"
83,"Crete","Greece"
84,"Vinho Verde","Portugal"
85,"Idaho","US"
86,"Western Australia","Australia"
87,"Levante","Spain"
88,"Martinborough","New Zealand"
89,"Central Otago","New Zealand"
90,"Lisboa","Portugal"
91,"Texas","US"
92,"Península de Setúbal","Portugal"
93,"Australia Other","Australia"
94,"Tasmania","Australia"
95,"Franken","Germany"
96,"Ahr","Germany"
97,"Nahe","Germany"
0," "," "
98,"Dealu Mare","Romania"
99,"Port","Portugal"
100,"Darling","South Africa"
101,"Chile","Chile"
102,"Südoststeiermark","Austria"
103,"Corinth","Greece"
104,"Halkidiki","Greece"
105,"Thrace","Turkey"
106,"Pfalz","Germany"
107,"Robertson","South Africa"
108,"Dan","Israel"
109,"Northwestern Italy","Italy"
110,"Andalucia","Spain"
111,"Awatere Valley","New Zealand"
112,"Wiener Gemischter Satz","Austria"
113,"Wachau","Austria"
114,"Pennsylvania","US"
115,"Swartland","South Africa"
116,"Dão","Portugal"
117,"Wagram-Donauland","Austria"
118,"Rio Claro","Chile"
119,"Villány","Hungary"
120,"Cachapoal Valley","Chile"
121,"Jidvei","Romania"
122,"America","US"
123,"Traisental","Austria"
124,"Bairrada","Portugal"
125,"Negev Hills","Israel"
126,"Ribatejano","Portugal"
127,"Duriense","Portugal"
128,"New Jersey","US"
129,"Beiras","Portugal"
130,"Spanish Islands","Spain"
131,"Upper Galilee","Israel"
132,"Vinho Espumante","Portugal"
133,"Epanomi","Greece"
134,"Nemea","Greece"
135,"Peloponnese","Greece"
136,"Aconcagua Costa","Chile"
137,"Moravia","Czech Republic"
138,"Slovenia","Slovenia"
139,"Terras do Dão","Portugal"
140,"Beira Interior","Portugal"
141,"Panciu","Romania"
142,"Bío Bío Valley","Chile"
143,"Romania","Romania"
144,"Portuguese Table Wine","Portugal"
145,"Minho","Portugal"
146,"Missouri","US"
147,"New Mexico","US"
148,"Nevada","US"
149,"Bucelas","Portugal"
150,"Peumo","Chile"
151,"San Antonio","Chile"
152,"Carnuntum","Austria"
153,"Estremadura","Portugal"
154,"Canterbury","New Zealand"
155,"Spain Other","Spain"
156,"Drama","Greece"
157,"Ella Valley","Israel"
158,"Moselle Luxembourgeoise","Luxembourg"
159,"Württemberg","Germany"
160,"Baden","Germany"
161,"Pangeon","Greece"
162,"Elqui Valley","Chile"
163,"Wairau Valley","New Zealand"
164,"Istria","Croatia"
165,"Peljesac","Croatia"
166,"Kakheti","Georgia"
167,"Canelones","Uruguay"
168,"England","England"
169,"Marchigue","Chile"
170,"Paarl","South Africa"
171,"Durbanville","South Africa"
172,"Weinland Österreich","Austria"
173,"Mantinia","Greece"
174,"Chalkidiki","Greece"
175,"Lebanon","Lebanon"
176,"Setubal","Portugal"
177,"Mosel-Saar-Ruwer","Germany"
178,"Colorado","US"
179,"Pocerina","Serbia"
180,"British Columbia","Canada"
181,"Puente Alto","Chile"
182,"Kumeu","New Zealand"
183,"Trás-os-Montes","Portugal"
184,"Shomron","Israel"
185,"Rapsani","Greece"
186,"Vienna","Austria"
187,"New South Wales","Australia"
188,"Nelson","New Zealand"
189,"Waipara Valley","New Zealand"
190,"Constantia","South Africa"
191,"Arizona","US"
192,"Pinto Bandeira","Brazil"
193,"Primorska","Slovenia"
194,"Moldova","Moldova"
195,"Uruguay","Uruguay"
196,"Zenata","Morocco"
197,"South Africa","South Africa"
198,"Massachusetts","US"
199,"Ohio","US"
200,"Ica","Peru"
201,"San Vicente","Mexico"
202,"Nashik","India"
203,"Franschhoek","South Africa"
204,"South Island","New Zealand"
205,"Atlantida","Uruguay"
206,"Thracian Valley","Bulgaria"
207,"Tarnave","Romania"
208,"Vipavska Dolina","Slovenia"
209,"Bekaa Valley","Lebanon"
210,"Elgin","South Africa"
211,"Itata Valley","Chile"
212,"Table wine","Portugal"
213,"Samson","Israel"
214,"Madeira","Portugal"
215,"Cyprus","Cyprus"
216,"Pageon","Greece"
217,"Vinho Espumante de Qualidade","Portugal"
218,"Wellington","South Africa"
219,"Danube River Plains","Bulgaria"
220,"Gisborne","New Zealand"
221,"Obidos","Portugal"
222,"Wairarapa","New Zealand"
223,"Armenia","Armenia"
224,"Santa Cruz","Chile"
225,"Korčula","Croatia"
226,"Viile Timisului","Romania"
227,"Illinois","US"
228,"Aegean","Turkey"
229,"Simonsberg-Paarl","South Africa"
230,"Juanico","Uruguay"
231,"Black Sea Coastal","Bulgaria"
232,"Santa Catarina","Brazil"
233,"Overberg","South Africa"
234,"Atalanti Valley","Greece"
235,"Sebes","Romania"
236,"Moscatel de Setúbal","Portugal"
237,"Macedonia","Greece"
238,"Ribatejo","Portugal"
239,"Germany","Germany"
240,"Palmela","Portugal"
241,"Galil","Israel"
242,"Kras","Slovenia"
243,"Croatia","Croatia"
244,"Waipara","New Zealand"
245,"Olifants River","South Africa"
246,"Montevideo","Uruguay"
247,"Campanha","Brazil"
248,"Israel","Israel"
249,"Neusiedlersee","Austria"
250,"Hungary","Hungary"
251,"Lolol Valley","Chile"
252,"Cauquenes Valley","Chile"
253,"Groenekloof","South Africa"
254,"Alenquer","Portugal"
255,"Goriska Brda","Slovenia"
256,"Murfatlar","Romania"
257,"Moscatel do Douro","Portugal"
258,"Washington-Oregon","US"
259,"New Zealand","New Zealand"
260,"Serra Gaúcha","Brazil"
261,"San Jose","Uruguay"
262,"Vale dos Vinhedos","Brazil"
263,"Mittelburgenland","Austria"
264,"Lutzville Valley","South Africa"
265,"North Carolina","US"
266,"Apalta","Chile"
267,"Malleco","Chile"
268,"Guerrouane","Morocco"
269,"Valais","Switzerland"
270,"Choapa Valley","Chile"
271,"Georgia","Georgia"
272,"Ankara","Turkey"
273,"Samos","Greece"
274,"Mittelrhein","Germany"
275,"Eisenberg","Austria"
276,"Sagrada Familia","Chile"
277,"Austria","Austria"
278,"Mostar","Bosnia and Herzegovina"
279,"Iowa","US"
280,"Tulbagh","South Africa"
281,"Cederberg","South Africa"
282,"Hemel en Aarde","South Africa"
283,"Ceres Plateau","South Africa"
284,"Bot River","South Africa"
285,"Patras","Greece"
286,"Korinthia","Greece"
287,"Greece","Greece"
288,"San Clemente","Chile"
289,"Podunavlje","Croatia"
290,"Florina","Greece"
291,"Buin","Chile"
292,"Haut-Judeé","Israel"
293,"Ukraine","Ukraine"
294,"Terras do Sado","Portugal"
295,"Maipo Valley-Colchagua Valley","Chile"
296,"Brazil","Brazil"
297,"Breedekloof","South Africa"
298,"Leyda Valley-Maipo Valley","Chile"
299,"Vermont","US"
300,"Switzerland","Switzerland"
301,"Waitaki Valley","New Zealand"
302,"Eger","Hungary"
303,"Golan Heights","Israel"
304,"Fruška Gora","Serbia"
305,"Philadelphia","South Africa"
306,"Muzla","Slovakia"
307,"Mátra","Hungary"
308,"Pirque","Chile"
309,"Negev","Israel"
310,"Pitsilia Mountains","Cyprus"
311,"East Coast","New Zealand"
312,"Mavrodaphne of Patras","Greece"
313,"Attica","Greece"
314,"Progreso","Uruguay"
315,"Elazığ-Diyarbakir","Turkey"
316,"Jonkershoek Valley","South Africa"
317,"Tikves","Macedonia"
318,"Vale Trentino","Brazil"
319,"Turkey","Turkey"
320,"Waiheke Island","New Zealand"
321,"Molina","Chile"
322,"Serra do Sudeste","Brazil"
323,"Dalmatian Coast","Croatia"
324,"Eilandia","South Africa"
325,"Dealurile Munteniei","Romania"
326,"Thraki","Greece"
327,"Curicó and Maipo Valleys","Chile"
328,"Štajerska","Slovenia"
329,"Middle and South Dalmatia","Croatia"
330,"Kentucky","US"
331,"Župa","Serbia"
332,"Pafos","Cyprus"
333,"Monemvasia","Greece"
334,"Szekszárd","Hungary"
335,"Elazığ","Turkey"
336,"Cappadocia","Turkey"
337,"Kutjevo","Croatia"
338,"Ismarikos","Greece"
339,"Connecticut","US"
340,"Sithonia","Greece"
341,"Curicó and Leyda Valleys","Chile"
342,"Agioritikos","Greece"
343,"Casablanca-Curicó Valley","Chile"
344,"Piekenierskloof","South Africa"
345,"Elim","South Africa"
346,"Malgas","South Africa"
347,"Beotia","Greece"
348,"Algarve","Portugal"
349,"Retsina","Greece"
350,"Amindeo","Greece"
351,"Coelemu","Chile"
352,"Cape South Coast","South Africa"
353,"Sopron","Hungary"
354,"Bulgaria","Bulgaria"
355,"North Dalmatia","Croatia"
356,"Northern Cape","South Africa"
357,"Vinho da Mesa","Portugal"
358,"Hvar","Croatia"
359,"Cephalonia","Greece"
360,"Lemesos","Cyprus"
361,"Cahul","Moldova"
362,"Cyclades","Greece"
363,"Breede River Valley","South Africa"
364,"Ticino","Switzerland"
365,"Vlootenburg","South Africa"
366,"Brda","Slovenia"
367,"Dingač","Croatia"
368,"Morocco","Morocco"
369,"Achaia","Greece"
370,"Polkadraai Hills","South Africa"
371,"Rhode Island","US"
372,"Amyndeon","Greece"
373,"Vânju Mare","Romania"
374,"Hrvatsko Primorje","Croatia"
375,"Central Greece","Greece"
376,"Dolenjska","Slovenia"
377,"Österreichischer Perlwein","Austria"
378,"Requinoa","Chile"
379,"Mavrodaphne de Cephalonie","Greece"
380,"Goumenissa","Greece"
381,"Portugal","Portugal"
382,"Messinia","Greece"
383,"Lakonia","Greece"
384,"Markopoulo","Greece"
385,"Vinho Licoroso","Portugal"
386,"Paardeberg","South Africa"
387,"San Antonio de las Minas Valley","Mexico"
388,"Krania Olympus","Greece"
389,"Corinthia","Greece"
390,"Slovenska Istra","Slovenia"
391,"Commandaria","Cyprus"
392,"Gladstone","New Zealand"
393,"Jerusalem Hills","Israel"
394,"Mount Athos","Greece"
395,"Colares","Portugal"
396,"Helderberg","South Africa"
397,"Casablanca & Leyda Valleys","Chile"
398,"Dealurile Hușilor","Romania"
399,"Urla-Thrace","Turkey"
400,"Südburgenland","Austria"
401,"Cape Peninsula","South Africa"
402,"Codru Region","Moldova"
403,"Sterea Ellada","Greece"
404,"Muscat of Patras","Greece"
405,"Imathia","Greece"
406,"Alenteo","Portugal"
407,"Canada Other","Canada"
408,"Letrinon","Greece"
409,"Muscat of Kefallonian","Greece"
410,"Thessalikos","Greece"
411,"Hawaii","US"
412,"China","China"
413,"Limnos","Greece"
414,"Egypt","Egypt"
415,"Viile Timis","Romania"
416,"Devon Valley","South Africa"
417,"Krk","Croatia"
418,"Arcadia","Greece"
419,"Cape Agulhas","South Africa"
420,"Kathikas","Cyprus"
421,"Vin de Pays de Velvendo","Greece"
422,"Landwein Rhein","Germany"
423,"Lesbos","Greece"
424,"Távora-Varosa","Portugal"
425,"Neuchâtel","Switzerland"
